Track;Artist;Album;Year;Tempo;Duration_Min;Genre;Popularity;ArtistID;GenreID;TimeID
The Veldt - Radio Edit;deadmau5;The Veldt;2012;128036;2,83443E+16;Tech House;55;24;1;21
Dechorro;Deorro;Dechorro;2016;127989;5125;Future House;29;25;3;25
Five Hours;Deorro;Five Hours;2014;127907;5,44812E+16;Future House;63;25;3;23
Five More Hours;Deorro;Good Evening;2015;127961;3,53292E+16;Future House;73;25;3;24
Perdoname (feat. DyCy & Adrian Delgado);Deorro;Perdoname (feat. DyCy & Adrian Delgado);2016;127989;4,50088E+16;Future House;66;25;3;25
Yee;Deorro;Yee;2016;127998;281255;Future House;48;25;3;25
Candy (feat. Snappy Jit);Dillon Francis;Candy (feat. Snappy Jit);2014;110041;303635;Deep House;29;26;5;23
Coming Over (feat. James Hersey);Dillon Francis;This Mixtape is Fire.;2016;174031;2,97222E+16;Hardstyle/Hardcore;50;26;4;25
Get Low;Dillon Francis;Money Sucks, Friends Rule;2014;101033;3,54622E+16;Deep House;59;26;5;23
Goodies;Dillon Francis;This Mixtape is Fire TOO;2019;126017;2,03173E+16;Future House;54;26;3;28
I.D.G.A.F.O.S.;Dillon Francis;I.D.G.A.F.O.S.;2018;110018;414545;Deep House;32;26;5;27
Say Less;Dillon Francis;Say Less;2018;135956;341165;Techno;46;26;2;27
Touch;Dillon Francis;You Do You;2015;104027;2,96097E+16;Deep House;51;26;5;24
Ven;Dillon Francis;WUT WUT;2018;11506;3,10007E+16;House;27;26;8;27
Without You;Dillon Francis;Without You;2017;119951;41;House;32;26;8;26
Crowd Control - Radio Edit;Dimitri Vegas & Like Mike;Crowd Control (Radio Edit);2017;139902;2,65713E+16;Techno;47;27;2;26
Higher Place;Dimitri Vegas & Like Mike;Higher Place;2020;124934;2,90017E+16;Future House;51;27;3;29
Instagram;Dimitri Vegas & Like Mike;Instagram;2019;95997;3,07597E+16;Downtempo;58;27;7;28
Mammoth;Dimitri Vegas & Like Mike;Mammoth;2013;127997;553815;Future House;61;27;3;22
Repeat After Me (AIR242);Dimitri Vegas & Like Mike;Armada Invites Radio 242 (Incl. Armada Trice Take-Over);2014;131886;3,10417E+16;Tech House;0;27;1;23
Thank You (Not So Bad);Dimitri Vegas & Like Mike;Thank You (Not So Bad);2018;150019;2,33333E+16;Hardstyle/Hardcore;85;27;4;27
The House Of House;Dimitri Vegas & Like Mike;The House Of House;2013;139957;4,45067E+16;Techno;45;27;2;22
Tremor - Sensation 2014 Anthem;Dimitri Vegas & Like Mike;Gold Skies;2014;127992;4,90777E+16;Future House;54;27;3;23
Waves (Tomorrowland 2014 Anthem);Dimitri Vegas & Like Mike;Waves (Tomorrowland 2014 Anthem);2014;127915;34375;Future House;27;27;3;23
6th Gear (feat. Kstylis);Diplo;Random White Dude Be Everywhere;2015;150019;3,53167E+16;Hardstyle/Hardcore;19;28;4;24
Be Right There;Diplo;Be Right There;2020;124972;395085;Future House;54;28;3;29
Express Yourself - Mochakk Remix;Diplo;Express Yourself (Mochakk Remix);2022;128026;425;Tech House;56;28;1;31
Get It Right;Diplo;Get It Right;2015;159686;2875;Hardstyle/Hardcore;46;28;4;24
Revolution (feat. Faustix & Imanos and Kai);Diplo;Random White Dude Be Everywhere;2013;148024;4,39527E+16;Trance;47;28;6;22
Set Me Free;Diplo;Set Me Free;2018;150;3,26682E+16;Hardstyle/Hardcore;30;28;4;27
Help Me Lose My Mind;Disclosure;Settle - Deluxe;2013;109021;4,07467E+16;Deep House;60;29;5;22
Jaded;Disclosure;Caracal (Deluxe);2016;11701;457915;House;42;29;8;25
Latch;Disclosure;Settle - Deluxe;2012;121985;4,26443E+16;House;72;29;8;21
Magnets;Disclosure;Caracal (Deluxe);2015;92008;332075;Downtempo;62;29;7;24
Omen;Disclosure;Caracal (Deluxe);2015;106011;38375;Deep House;58;29;5;24
When A Fire Starts To Burn;Disclosure;Settle - Deluxe;2013;123948;4,73377E+16;Future House;47;29;3;22
White Noise;Disclosure;Settle - Deluxe;2012;119966;4,62533E+16;House;53;29;8;21
You & Me - Rivo Remix;Disclosure;You & Me (Rivo Remix);2015;122011;34754;House;84;29;8;24
Let Me Love You;DJ Snake;Encore;2016;199892;3,43243E+16;Hardstyle/Hardcore;83;30;4;25
Loco Contigo (feat. J. Balvin & Tyga);DJ Snake;Carte Blanche;2019;95983;3,08657E+16;Downtempo;73;30;7;28
Magenta Riddim;DJ Snake;Carte Blanche;2018;102047;32415;Deep House;60;30;5;27
Middle;DJ Snake;Encore;2016;104879;3,67622E+16;Deep House;75;30;5;25
Paris (feat. GASHI);DJ Snake;Carte Blanche;2019;12804;375;Tech House;38;30;1;28
Taki Taki (with Selena Gomez, Ozuna & Cardi B);DJ Snake;Taki Taki (with Selena Gomez, Ozuna & Cardi B);2018;95881;3,54167E+16;Downtempo;72;30;7;27
Teka (with Peso Pluma);DJ Snake;Teka (with Peso Pluma);2024;126105;273015;Future House;79;30;3;33
Turn Down for What;DJ Snake;Turn Down for What;2013;100014;3,56222E+16;Deep House;70;30;5;22
You Know You Like It;DJ Snake;You Know You Like It;2014;196093;41211;Hardstyle/Hardcore;70;30;4;23
Beyond the Fire;Don Diablo;Beyond the Fire;2019;115968;3,81033E+16;House;60;31;8;28
Children Of A Miracle - Don Diablo VIP Mix;Don Diablo;Children Of A Miracle (Don Diablo VIP Mix);2017;126138;3,22478E+16;Future House;16;31;3;26
Cutting Shapes;Don Diablo;Past.Present.Future.;2015;125826;2,98412E+16;Future House;50;31;3;24
Momentum;Don Diablo;Momentum;2018;126071;2,81673E+16;Future House;38;31;3;27
On My Mind - Radio Edit;Don Diablo;Past.Present.Future.;2018;125986;311475;Future House;49;31;3;27
Save A Little Love;Don Diablo;FUTURE (Deluxe Edition);2018;122013;3,38217E+16;House;38;31;8;27
