Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Anywhere But Home,Breathe Carolina,Anywhere But Home,2010,190336,4,0.478,0.734,3,-4.255,0,0.0404,0.0222,0,0.18,0.238,128.096,27
Blackout,Breathe Carolina,Hell Is What You Make It,2013,210200,4,0.662,0.819,6,-4.609,1,0.124,0.00537,0,0.0498,0.801,122.951,51
Dance All Night,Breathe Carolina,Dance All Night,2011,129535,4,0.658,0.918,7,-4.064,1,0.0427,0.0181,0.757,0.0915,0.67,140.013,0
Hello Fascination,Breathe Carolina,Hello Fascination,2009,202026,4,0.466,0.99,8,-2.349,1,0.0969,0.0136,0.000184,0.456,0.213,139.988,37
I.D.G.A.F,Breathe Carolina,Hello Fascination,2014,194093,4,0.702,0.904,5,-3.456,1,0.0413,0.139,0.00000159,0.173,0.754,119.997,36
Sellouts,Breathe Carolina,Savages,2019,288853,4,0.47,0.753,11,-5.504,0,0.0667,0.0047,0,0.0708,0.372,159.98,46
Show Me Yours,Breathe Carolina,"It's Classy, Not Classic",2018,229946,4,0.561,0.709,0,-8.415,1,0.044,0.00802,0.0000276,0.0918,0.233,144.979,21
Blame (feat. John Newman),Calvin Harris,Motion,2014,212960,4,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128.024,81
Feel So Close - Radio Edit,Calvin Harris,18 Months,2011,206413,4,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,85
How Deep Is Your Love,Calvin Harris,How Deep Is Your Love,2015,212640,4,0.738,0.868,11,-4.373,0,0.0731,0.0392,0.00169,0.388,0.336,122.003,81
I Need Your Love (feat. Ellie Goulding),Calvin Harris,18 Months,2013,234506,4,0.695,0.869,8,-5.066,1,0.0483,0.41,0,0.237,0.58,124.989,75
My Way,Calvin Harris,My Way,2016,219159,4,0.818,0.913,4,-3.06,0,0.0426,0.093,0.0000369,0.161,0.536,119.986,79
Outside (feat. Ellie Goulding),Calvin Harris,Motion,2015,227266,4,0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,85
Summer,Calvin Harris,Motion,2014,222533,4,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,86
Sweet Nothing (feat. Florence Welch),Calvin Harris,18 Months,2012,212560,4,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,77
This Is What You Came For,Calvin Harris,This Is What You Came For,2016,222160,4,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,84
Dr. Funk (Riva Starr Mo' Funk Mix),Carl Cox,Dr. Funk (Riva Starr Remixes),2006,360420,4,0.811,0.991,2,-6.466,1,0.0444,0.000118,0.918,0.0324,0.28,126.002,42
Give Me Your Love - Valentino Kanzyani Mixshow,Carl Cox,Give Me Your Love,2005,356893,4,0.696,0.87,10,-7.546,0,0.0374,0.00185,0.864,0.0403,0.64,131.01,1
I Want You (Forever) - Josh Butler Remix - Radio Edit,Carl Cox,I Want You (Forever) [Josh Butler Remix],2011,245714,4,0.87,0.657,9,-8.833,1,0.0746,0.00411,0.0722,0.834,0.297,126.016,57
The Latin Theme - Roel Salemink & Steve Mulder Remix,Carl Cox,The Latin Theme,2007,439875,4,0.676,0.916,7,-5.863,1,0.0537,0.000235,0.846,0.405,0.41,127.984,30
Cry Baby,Clean Bandit,Cry Baby,2018,157086,4,0.664,0.762,1,-4.286,1,0.104,0.333,0.00000126,0.177,0.576,118.979,75
Disconnect,Clean Bandit,Disconnect,2018,252033,4,0.642,0.734,0,-6.788,0,0.031,0.1,0.0000319,0.102,0.622,123.972,42
Extraordinary (feat. Sharna Bass),Clean Bandit,New Eyes,2018,256676,4,0.715,0.825,0,-5.322,0,0.0348,0.171,0.00000556,0.0871,0.124,126.962,27
Mama (feat. Ellie Goulding),Clean Bandit,What Is Love? (Deluxe Edition),2016,189973,4,0.737,0.714,1,-6.138,0,0.0367,0.225,0.00000379,0.267,0.608,102.046,51
Rather Be (feat. Jess Glynne),Clean Bandit,Rather Be (feat. Jess Glynne),2014,227833,4,0.799,0.586,11,-6.735,1,0.0377,0.162,0.00000203,0.193,0.549,120.97,72
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,What Is Love? (Deluxe Edition),2016,251173,4,0.717,0.73,9,-4.729,0,0.0568,0.383,0,0.398,0.792,102.002,77
Solo (feat. Demi Lovato),Clean Bandit,What Is Love? (Deluxe Edition),2018,222706,4,0.74,0.622,11,-4.608,0,0.0446,0.0357,0.0000485,0.356,0.556,104.966,71
Symphony (feat. Zara Larsson),Clean Bandit,What Is Love? (Deluxe Edition),2017,212733,4,0.715,0.605,0,-5.128,0,0.0428,0.239,0.0000141,0.189,0.454,122.956,77
Up Again (feat. Rae Morris) - Drumsound & Bassline Smith Remix,Clean Bandit,New Eyes,2015,208649,4,0.459,0.887,8,-4.54,1,0.0394,0.00793,0,0.126,0.426,171.968,16
Aerodynamic,Daft Punk,Discovery,2001,212546,4,0.624,0.911,7,-7.482,1,0.0524,0.329,0.861,0.0727,0.135,122.902,60
Around the World,Daft Punk,Homework,1997,429533,4,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,72
Da Funk,Daft Punk,Homework,1997,328680,4,0.806,0.7,0,-5.269,0,0.0752,0.00196,0.891,0.267,0.892,111.215,62
Digital Love,Daft Punk,Discovery,2001,301373,4,0.644,0.664,9,-8.398,1,0.0332,0.048,0.867,0.342,0.53,124.726,65
Get Lucky (feat. Pharrell Williams and Nile Rodgers),Daft Punk,Random Access Memories,2013,369626,4,0.81,0.793,6,-9.404,0,0.0403,0.0378,0.00000177,0.072,0.863,116.05,73
"Harder, Better, Faster, Stronger",Daft Punk,Discovery,2001,224693,4,0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.474,70
Instant Crush (feat. Julian Casablancas),Daft Punk,Random Access Memories,2013,337560,4,0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,75
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,Random Access Memories,2013,353893,4,0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,68
One More Time,Daft Punk,Discovery,2000,320357,4,0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,76
Robot Rock,Daft Punk,Human After All,2005,287720,4,0.59,0.787,7,-5.766,1,0.0512,6.94E-06,0.845,0.0293,0.598,111.926,51
Feel the Beat,Darude,"Before the Storm, Special Edition",2000,259200,4,0.569,0.913,8,-6.973,1,0.0638,0.00618,0.834,0.287,0.504,137.822,52
Music - Original Radio Edit,Darude,Music,1999,225426,4,0.561,0.982,1,-5.726,1,0.0527,0.00132,0.755,0.656,0.786,137.965,26
Out Of Control (Back For More),Darude,"Before the Storm, Special Edition",2009,217653,4,0.601,0.942,9,-6.448,0,0.074,0.0462,0.0653,0.0397,0.305,136.854,30
Rush,Darude,Rush,1999,374706,4,0.59,0.965,8,-8.639,1,0.0412,0.0021,0.856,0.38,0.357,137.968,19
Sandstorm,Darude,"Before the Storm, Special Edition",1999,225493,4,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,70
Touch Me Feel Me,Darude,Before the Storm,2005,374706,4,0.621,0.685,7,-10.201,1,0.0474,0.0741,0.736,0.155,0.241,104.909,28
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,Listen (Deluxe),2015,192560,4,0.596,0.73,9,-4.091,1,0.151,0.24,0,0.325,0.525,85.979,62
